Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,_version:1,_order:1000
805f29fc-c6bf-4ab3-8366-1395b810b60a,,,Animal husbandry,,,,,,,,,Misc,N/A,,,
200beae9-f4a2-47dd-b95c-b0855e843b13,,,Beautician / Hairdresser,,,,,,,,,Misc,N/A,,,
839340ce-cab9-48b9-87ef-a3d3e38188fa,,,Carpet Industry,,,,,,,,,Misc,N/A,,,
95a2e9a1-00f2-4566-b517-895d30a65ab3,,,Child care,,,,,,,,,Misc,N/A,,,
50353a75-2897-49ac-9619-880998134a27,,,Community Health Workers,,,,,,,,,Misc,N/A,,,
6198da1b-2bb4-44de-8a6d-b5aea6438c89,,,Doctors,,,,,,,,,Misc,N/A,,,
ecba30f8-2c99-4dd4-bcf3-3a401e1f60d0,,,Driver,,,,,,,,,Misc,N/A,,,
72f5b06a-a0b3-40bc-b122-2e9404b16d6b,,,Electrician,,,,,,,,,Misc,N/A,,,
f36347ae-7f5f-4c86-a23b-907943d6c56b,,,Farming,,,,,,,,,Misc,N/A,,,
69a271d4-edd2-45ee-b9f6-9fc73bc8c20d,,,Government staff,,,,,,,,,Misc,N/A,,,
6c6efb0c-e8f5-48a3-9507-9fd713a14b6c,,,Handicrafts,,,,,,,,,Misc,N/A,,,
3f233447-d664-464f-b6f3-7f23af5d960a,,,Health Workers,,,,,,,,,Misc,N/A,,,
8dd4a75f-ff8c-4d52-a095-0630b3d8af89,,,Homemaker,,,,,,,,,Misc,N/A,,,
b87dda4a-24c3-42fb-97cf-c86cd045250c,,,Information Technology,,,,,,,,,Misc,N/A,,,
ad4ab534-5095-4be0-b788-91c6dac56a05,,,Military,,,,,,,,,Misc,N/A,,,
b008f764-d73a-47e6-870c-a3e3102e6f51,,,Monk,,,,,,,,,Misc,N/A,,,
df0593a9-cbbe-48bd-b0c1-27c1ddeefe99,,,Nun,,,,,,,,,Misc,N/A,,,
02496c4d-cba9-477a-8358-fc1eeeab52df,,,Office Staff,,,,,,,,,Misc,N/A,,,
8ee0b9dc-e841-44ad-bb0e-2a1e45115b43,,,Petty business,,,,,,,,,Misc,N/A,,,
8dfac744-0219-4b01-bcc6-a0ef33885980,,,Plumber,,,,,,,,,Misc,N/A,,,
6dec5054-9576-4f13-a47e-348a39c89065,,,Police / Security Guard,,,,,,,,,Misc,N/A,,,
5654132c-e017-4e2c-be78-186a043ac152,,,Restaurant owners,,,,,,,,,Misc,N/A,,,
5322ef76-f124-44e6-baf9-1ce33e232e55,,,Restaurant/Hotel worker,,,,,,,,,Misc,N/A,,,
589d0610-4c0d-4f67-b2d3-b5fe07fbc8d7,,,Retired,,,,,,,,,Misc,N/A,,,
d09e18c6-d728-4385-a39b-7ff80f3c5c5c,,,Shop owners,,,,,,,,,Misc,N/A,,,
b1d41ca0-172a-4793-a51c-7849b6f056c5,,,Student,,,,,,,,,Misc,N/A,,,
4f690be4-3d70-40a5-a1c1-5fbe9df85e8b,,,Sweater seller helper,,,,,,,,,Misc,N/A,,,
c09e6ac2-a4a1-4449-ab99-1803c3d7ba53,,,Sweater sellers,,,,,,,,,Misc,N/A,,,
01fa6dbd-c65a-4630-98db-03d602be2664,,,Teacher,,,,,,,,,Misc,N/A,,,
4fb51599-6252-4590-a90f-52850e227903,,,Travel Agent / Guide,,,,,,,,,Misc,N/A,,,
83dac42c-37a4-4b46-ba31-0d8fc30c4a2f,,,Labour,,,,,,,,,Misc,N/A,,,
24fc03ae-d0ca-4469-83a8-0e7011f6cfe6,,,Indian,,,,,,,,,Misc,N/A,,,
241a7572-b321-4172-bb84-a3287071bada,,,Foreign,,,,,,,,,Misc,N/A,,,
a41652a3-d2a7-4fee-b150-0907c6228d25,,,Ayushman Bharat,,,,,,,,,Misc,N/A,,,
79187110-1366-481f-b37d-cc6730b301c1,,,HimCare,,,,,,,,,Misc,N/A,,,
809657c2-8110-4a22-8ce8-f8b1b60c3972,,,BPL,,,,,,,,,Misc,N/A,,,
842d0953-fc75-4799-91b4-d7688fcf276b,,,General,,,,,,,,,Misc,N/A,,,
f45cbda0-db76-44d6-bb3a-715de2bd7481,,,Antenatal,,,,,,,,,Misc,N/A,,,
06aba3e1-43cf-4059-84ff-a5b4fec4d5ab,,,HIV,,,,,,,,,Misc,N/A,,,
662a7447-4e29-4288-92cd-75b840ceeeae,,,Staff,,,,,,,,,Misc,N/A,,,
84211166-a4f6-4a2d-9d40-f8a84202e360,,,Leprosy referral,,,,,,,,,Misc,N/A,,,
9f76e7fc-df6c-46fe-86d6-5b39ba9859d1,,,Dots referral,,,,,,,,,Misc,N/A,,,
8aeac83e-6578-44ba-95ba-544f3c2c8fd0,,,Ent referral,,,,,,,,,Misc,N/A,,,
dc5a254a-3916-451f-945f-cbd192bffbfc,,,Investigation referral,,,,,,,,,Misc,N/A,,,
cafccf22-789d-4707-a57c-62c5cd4d8a7c,,,Obst and gynae referral,,,,,,,,,Misc,N/A,,,
10c72a8b-3747-46c1-9d00-950a43d8423a,,,Surgery referral,,,,,,,,,Misc,N/A,,,
7f3e49b7-a9a1-4108-a7b2-7d31eec4a3cb,,,Other reasons for referral,,,,,,,,,Misc,N/A,,,
25f0aa8a-5ab6-4a39-b6a9-e60931a7a024,,,Sub centre,,,,,,,,,Misc,N/A,,,
1c55f482-975b-4b5b-ba86-1c2394164fd1,,,Chc,,,,,,,,,Misc,N/A,,,
d6f9966f-292c-455d-b0a9-db0002b38115,,,Phc,,,,,,,,,Misc,N/A,,,
c90a1d2e-5330-42ce-a6ac-673b9f07a09c,,,Sdh,,,,,,,,,Misc,N/A,,,
d526c06a-7c8d-4f12-a42f-1d2a0c5a768e,,,Other district hospital,,,,,,,,,Misc,N/A,,,
1a319766-b33a-4990-9426-953af16f5170,,,Private institutions,,,,,,,,,Misc,N/A,,,
17a16669-c79b-4076-af86-99669063cfdc,,,Burns,,,,,,,,,Misc,N/A,,,
27a65612-fa16-4fe7-9534-0e6d36b85d68,,,Rape,,,,,,,,,Misc,N/A,,,
4a4786c1-fb3c-4083-8266-6f8c2c880359,,,Accidental fall,,,,,,,,,Misc,N/A,,,
e20e9235-5ffe-4d16-8cd5-2a25fd5a2525,,,Poisoning,,,,,,,,,Misc,N/A,,,
93fc0d9f-10cd-40b1-997d-08ba8aef0f2a,,,Railway accident,,,,,,,,,Misc,N/A,,,
